IAW1,IBW1,ICW1,IAW2,IBW2,ICW2,IAW3,IBW3,ICW3,IAW4,IBW4,ICW4,VDC
2.12,-0.95,-1.21,-2.56,2.44,0.12,0.14,-0.17,0.04,-0.08,0.0,0.0,129.0
-0.16,1.93,-1.8,-1.37,-1.54,2.91,0.13,0.06,-0.19,-0.02,0.0,0.0,129.0
-2.12,0.95,1.21,2.56,-2.45,-0.12,-0.14,0.17,-0.04,0.09,0.0,0.0,129.0
0.15,-1.93,1.8,1.37,1.54,-2.92,-0.13,-0.06,0.19,0.02,0.0,0.0,129.0
2.12,-0.96,-1.21,-2.56,2.45,0.12,0.14,-0.17,0.04,-0.09,0.0,0.0,129.0
-0.15,1.93,-1.8,-1.37,-1.54,2.92,0.13,0.06,-0.19,-0.02,0.0,0.0,129.0
-2.12,0.96,1.21,2.56,-2.45,-0.11,-0.14,0.17,-0.04,0.09,0.0,0.0,129.0
0.14,-1.93,1.81,1.37,1.54,-2.92,-0.13,-0.06,0.19,0.02,0.0,0.0,129.0
2.13,-0.96,-1.2,-2.56,2.46,0.1,0.14,-0.17,0.04,-0.08,0.0,0.0,129.0
-0.14,1.93,-1.82,-1.38,-1.53,2.92,0.13,0.06,-0.18,-0.02,0.0,0.0,129.0
-2.13,0.97,1.2,2.56,-2.46,-0.1,-0.14,0.17,-0.04,0.08,0.0,0.0,129.0
0.14,-1.93,1.82,1.38,1.53,-2.92,-0.13,-0.06,0.18,0.02,0.0,0.0,129.0
2.12,-0.97,-1.2,-2.56,2.46,0.09,0.14,-0.17,0.04,-0.08,0.0,0.0,129.0
-0.14,1.93,-1.82,-1.39,-1.52,2.92,0.13,0.05,-0.18,-0.02,0.0,0.0,129.0
-2.13,0.98,1.2,2.56,-2.46,-0.09,-0.14,0.17,-0.04,0.09,0.0,0.0,129.0
0.13,-1.93,1.82,1.39,1.52,-2.92,-0.13,-0.05,0.18,0.02,0.0,0.0,129.0
2.13,-0.98,-1.19,-2.55,2.47,0.09,0.14,-0.17,0.04,-0.09,0.0,0.0,129.0
-0.13,1.92,-1.82,-1.39,-1.52,2.93,0.13,0.06,-0.19,-0.02,0.0,0.0,129.0
-2.13,0.98,1.19,2.55,-2.47,-0.09,-0.14,0.18,-0.04,0.09,0.0,0.0,129.0
0.13,-1.92,1.83,1.4,1.52,-2.93,-0.13,-0.06,0.19,0.02,0.0,0.0,129.0
2.13,-0.99,-1.19,-2.55,2.48,0.08,0.14,-0.18,0.04,-0.09,0.0,0.0,129.0
-0.13,1.92,-1.83,-1.41,-1.52,2.93,0.13,0.06,-0.19,-0.02,0.0,0.0,129.0
-2.13,0.99,1.18,2.55,-2.48,-0.08,-0.14,0.18,-0.04,0.09,0.0,0.0,129.0
0.12,-1.92,1.83,1.41,1.51,-2.93,-0.13,-0.06,0.19,0.02,0.0,0.0,129.0
1.84,-4.45,-1.43,-2.53,4.74,-2.23,0.14,-0.12,-0.03,-8.35,-0.0,-0.0,129.0
-0.13,0.81,-1.75,-1.36,-0.78,2.15,0.13,0.08,-0.22,-1.85,0.0,-0.0,129.0
-1.33,10.6,2.12,2.66,-8.72,6.07,-0.14,0.0,0.15,23.0,0.0,0.0,129.0
0.35,0.3,1.63,1.11,0.19,-1.31,-0.13,-0.1,0.25,4.29,0.0,0.0,129.0
1.16,-13.0,-2.58,-2.89,10.3,-7.39,0.16,0.04,-0.2,-28.8,-0.01,-0.0,129.0
1.16,-0.09,-1.48,-2.07,0.76,1.32,0.1,0.14,-0.25,-0.69,-0.0,-0.0,129.0
-3.06,12.6,2.48,4.22,-11.4,7.18,-0.12,-0.06,0.19,23.7,0.01,0.0,129.0
-6.8,-0.02,1.12,5.78,-4.66,-1.16,-0.0,-0.25,0.26,-11.5,-0.0,0.0,129.0
5.51,-12.1,-2.37,-5.89,12.8,-6.89,0.08,0.09,-0.19,-17.5,-0.01,-0.0,128.0
10.9,0.28,-0.8,-8.46,7.36,1.12,-0.08,0.35,-0.27,20.8,0.0,0.0,128.0
-5.73,11.6,2.57,6.14,-12.5,6.41,-0.08,-0.08,0.18,16.9,0.01,0.0,128.0
-10.8,-0.55,0.76,8.36,-7.07,-1.32,0.06,-0.34,0.28,-21.2,-0.0,-0.0,128.0
5.68,-11.5,-2.76,-6.26,12.4,-6.2,0.08,0.06,-0.17,-17.1,-0.01,-0.0,128.0
10.5,0.65,-0.82,-8.22,6.82,1.42,-0.05,0.34,-0.28,20.8,0.0,0.0,128.0
-5.8,11.4,2.83,6.39,-12.4,6.07,-0.08,-0.05,0.16,16.7,0.0,0.0,128.0
-10.4,-0.81,0.81,8.14,-6.62,-1.55,0.03,-0.33,0.29,-20.9,-0.0,0.0,127.0
5.84,-11.3,-2.9,-6.47,12.4,-5.96,0.09,0.04,-0.14,-16.6,-0.0,-0.0,127.0
10.3,0.94,-0.83,-8.05,6.41,1.67,-0.02,0.32,-0.29,20.7,0.0,0.0,127.0
-6.16,8.99,2.66,6.53,-11.0,4.49,-0.09,0.01,0.09,10.8,0.0,0.0,127.0
-10.1,-1.86,0.94,8.0,-5.66,-2.36,0.01,-0.31,0.28,-21.8,-0.0,0.0,127.0
6.24,-4.0,-1.95,-6.06,7.54,-1.5,0.1,-0.13,0.01,0.66,0.0,-0.0,127.0
6.7,2.24,-0.68,-5.44,3.03,2.42,0.08,0.23,-0.29,16.2,0.0,0.0,127.0
-3.12,0.73,0.74,2.97,-3.04,0.08,-0.2,0.27,-0.05,-3.02,0.0,0.0,127.0
-1.77,-0.92,0.17,1.61,-0.47,-1.14,-0.19,-0.16,0.34,-5.02,0.0,-0.0,127.0
0.0,-0.1,0.0,-0.28,0.41,-0.14,0.29,-0.34,0.05,-0.39,0.0,0.0,127.0
0.0,0.0,0.0,-0.22,-0.14,0.37,0.2,0.16,-0.35,-0.01,0.0,0.0,127.0
0.0,0.0,0.0,0.29,-0.31,0.01,-0.29,0.29,-0.0,0.0,0.0,0.0,127.0
0.0,0.0,0.0,0.13,0.16,-0.28,-0.11,-0.17,0.27,0.0,0.0,0.0,128.0
0.0,0.0,0.0,-0.23,0.19,0.05,0.22,-0.17,-0.06,0.0,0.0,0.0,128.0
0.0,0.0,0.0,-0.01,-0.1,0.12,-0.01,0.12,-0.1,0.0,0.0,0.0,128.0
0.0,0.0,0.0,0.09,-0.06,-0.03,-0.09,0.05,0.04,0.0,0.0,0.0,128.0
0.0,0.0,0.0,-0.0,0.03,-0.02,0.03,-0.04,0.0,0.0,0.0,0.0,128.0
0.0,0.0,0.0,-0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,128.0
0.0,0.0,0.0,-0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,128.0
0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,128.0
