IA,IB,IC,IP,IG,VA(kV),VB(kV),VC(kV),VS(kV),V1MEM,FREQ,VDC,IAL,IBL,ICL,IAX,IBX,ICX,IAY,IBY,ICY,IAT,IBT,ICT
131.0,-206.0,46.0,-12.0,-29.0,-62.2,90.8,-29.9,-60.5,0.0,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
51.0,-211.0,123.0,-7.0,-36.0,-31.2,92.0,-59.3,-33.7,0.0,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-14.0,-186.0,168.0,-7.0,-32.0,4.8,77.8,-84.1,7.4,0.0,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-102.0,-124.0,194.0,-8.0,-32.0,39.1,53.6,-92.6,36.8,0.0,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-158.0,-60.0,189.0,-10.0,-28.0,70.1,17.7,-88.4,71.7,-0.1,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-202.0,24.0,149.0,-7.0,-29.0,87.1,-15.1,-72.3,86.9,-0.1,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-182.0,95.0,56.0,-8.0,-31.0,80.1,-51.6,-27.7,81.9,-0.1,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-138.0,158.0,-41.0,-8.0,-20.0,72.5,-77.1,3.6,72.3,-0.1,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-97.0,185.0,-113.0,-12.0,-25.0,58.3,-91.1,33.7,56.7,0.0,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-25.0,190.0,-183.0,-8.0,-19.0,34.2,-91.2,55.6,36.0,0.0,60.01,136.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
