IA,IB,IC,IP,IG,VA(kV),VB(kV),VC(kV),VS(kV),V1MEM,FREQ,VDC,IAL,IBL,ICL,IAX,IBX,ICX,IAY,IBY,ICY,IAT,IBT,ICT
89.0,-197.0,97.0,0.0,-11.0,-68.2,82.3,-14.5,0.0,-0.4,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-137.0,-82.0,214.0,0.0,-5.0,37.2,38.3,-75.5,0.0,-7.9,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-90.0,196.0,-100.0,-1.0,6.0,67.8,-82.2,14.6,-0.0,0.6,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
134.0,82.0,-215.0,0.0,1.0,-37.4,-38.0,75.3,0.0,8.3,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
90.0,-198.0,98.0,0.0,-10.0,-67.6,82.1,-14.8,0.0,-0.7,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-137.0,-83.0,214.0,-1.0,-6.0,37.5,37.8,-75.2,0.0,-8.5,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-94.0,196.0,-97.0,0.0,5.0,69.2,-82.1,13.2,-0.0,1.0,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
136.0,82.0,-217.0,0.0,0.0,-40.3,-37.6,77.8,-0.0,8.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
92.0,-193.0,94.0,-1.0,-7.0,-70.6,82.2,-12.0,0.0,-1.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-138.0,-85.0,217.0,0.0,-6.0,43.9,37.3,-81.3,-0.0,-8.1,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-89.0,190.0,-97.0,0.0,4.0,70.3,-82.6,12.6,-0.0,1.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
134.0,84.0,-217.0,-1.0,1.0,-45.2,-37.0,82.1,0.0,8.0,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
84.0,-190.0,97.0,-1.0,-8.0,-70.2,82.9,-13.0,0.0,-1.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-136.0,-85.0,215.0,0.0,-6.0,45.7,36.6,-82.2,-0.0,-7.9,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-84.0,188.0,-101.0,0.0,4.0,70.0,-83.2,13.4,-0.0,1.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
133.0,83.0,-216.0,-1.0,0.0,-46.2,-36.1,82.3,-0.0,7.8,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
104.0,-191.0,80.0,0.0,-6.0,-71.7,83.5,-12.0,0.0,-1.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-132.0,-84.0,211.0,0.0,-5.0,49.9,35.7,-85.6,0.0,-7.7,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-148.0,191.0,-41.0,-1.0,2.0,73.2,-83.9,11.0,-0.0,1.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
125.0,83.0,-208.0,-1.0,0.0,-54.5,-35.3,89.8,-0.0,7.4,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
166.0,-191.0,18.0,-1.0,-7.0,-72.7,84.5,-12.1,0.0,-1.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-124.0,-83.0,204.0,0.0,-2.0,56.0,34.7,-90.7,0.0,-7.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-164.0,188.0,-22.0,0.0,2.0,72.3,-85.0,12.9,-0.0,1.1,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
122.0,80.0,-205.0,-1.0,-2.0,-56.7,-34.2,90.9,-0.0,6.9,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
162.0,-190.0,22.0,0.0,-6.0,-72.0,85.3,-13.5,0.0,-1.1,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-125.0,-80.0,203.0,0.0,-2.0,57.2,33.7,-91.0,-0.0,-6.7,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-162.0,187.0,-23.0,-1.0,2.0,71.8,-85.6,14.1,-0.0,1.1,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
124.0,78.0,-203.0,-1.0,-1.0,-57.7,-33.3,91.0,0.0,6.5,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
160.0,-188.0,23.0,0.0,-6.0,-71.6,85.9,-14.6,0.0,-1.0,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-126.0,-78.0,200.0,0.0,-4.0,58.1,32.9,-91.0,0.0,-6.3,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-160.0,187.0,-25.0,-1.0,2.0,71.4,-86.2,15.1,-0.0,1.0,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
126.0,74.0,-202.0,-1.0,-1.0,-58.6,-32.4,91.1,-0.0,6.1,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
157.0,-188.0,25.0,1.0,-6.0,-71.1,86.4,-15.6,0.0,-1.0,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-127.0,-74.0,199.0,0.0,-2.0,59.0,32.0,-91.1,0.0,-5.9,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-158.0,187.0,-28.0,-1.0,1.0,70.8,-86.6,16.0,-0.0,0.9,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
126.0,73.0,-199.0,0.0,0.0,-59.4,-31.7,91.0,-0.0,5.7,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
156.0,-188.0,26.0,-1.0,-6.0,-70.6,86.8,-16.4,0.0,-0.9,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-128.0,-74.0,198.0,0.0,-5.0,59.6,31.4,-91.0,0.0,-5.5,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-156.0,186.0,-29.0,0.0,1.0,70.5,-86.9,16.7,-0.0,0.9,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
127.0,72.0,-198.0,-1.0,1.0,-59.8,-31.2,91.0,0.0,5.4,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
154.0,-187.0,28.0,-1.0,-6.0,-70.3,87.0,-16.9,0.0,-0.8,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
-128.0,-72.0,197.0,0.0,-4.0,60.0,30.9,-91.0,-0.0,-5.2,60.0,-0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
